id;Format;P;Q;Antican
1;[1, 1, 1], 1, 1;[[-2, 2, 0, 0], [-2, 0, 2, 0], [-3, 1, 1, 1]];[[1, 1, 1, 1], [1, 1, 0, 0], [1, 0, 1, 0]];[2, 0, 0]
2;[1, 1, 1], 1, 1;[[-2, 2, 0, 0], [-2, 0, 3, 0], [-3, 1, 1, 1]];[[3, 3, 2, 4], [0, 1, 0, 1]];[6, 0]
3;[1, 1, 1], 1, 1;[[-3, 2, 0, 0], [-3, 0, 2, 0], [-4, 1, 1, 1]];[[2, 3, 3, 2], [0, 1, 0, 1]];[4, 0]
4;[1, 1, 1], 1, 1;[[-3, 3, 0, 0], [-3, 0, 2, 0], [-4, 2, 1, 1]];[[2, 2, 3, 1], [1, 2, 0, 0]];[2, 0]
5;[1, 1, 1], 1, 1;[[-4, 2, 0, 0], [-4, 0, 2, 0], [-5, 1, 1, 1]];[[1, 2, 2, 1], [1, 0, 1, 0], [1, 1, 0, 0]];[2, 0, 0]
6;[1, 1, 1], 1, 1;[[-4, 3, 0, 0], [-4, 0, 2, 0], [-5, 2, 1, 1]];[[3, 4, 6, 1], [1, 0, 1, 0]];[2, 0]
7;[1, 1, 1], 1, 1;[[-5, 2, 0, 0], [-5, 0, 2, 0], [-7, 1, 1, 1]];[[2, 5, 5, 4], [0, 0, 1, 1]];[6, 0]
8;[2, 1, 1], 1, 1;[[-1, -1, 2, 0, 0], [-1, -1, 0, 2, 0], [-2, -3, 1, 1, 1]];[[-1, 1, 0, 0, 1], [2, 0, 1, 1, 2], [1, 1, 1, 0, 0]];[1, 4, 1]
9;[2, 1, 1], 1, 1;[[-1, -1, 2, 0, 0], [-1, -1, 0, 2, 0], [-1, -3, 1, 1, 1]];[[-1, 1, 0, 0, 2], [2, 0, 1, 1, 0], [0, 0, 1, 0, 1]];[2, 2, 0]
10;[2, 1, 1], 1, 1;[[-1, -1, 2, 0, 0], [-1, -1, 0, 2, 0], [-1, -2, 1, 1, 1]];[[-1, 1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 0, 0]];[1, 3, 1]
11;[2, 1, 1], 1, 1;[[-1, -1, 2, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 1, 1, 1]];[[-1, 1, 0, 0, 1], [-4, -2, -3, -2, -3]];[1, -8]
12;[2, 1, 1], 1, 1;[[-1, -1, 3, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 1, 1, 1]];[[-1, 1, 0, 0, 1], [2, 1, 1, 1, 2], [2, 1, 1, 0, 0]];[1, 4, 1]
13;[2, 1, 1], 1, 1;[[-1, -1, 3, 0, 0], [-1, -1, 0, 2, 0], [-1, -2, 2, 1, 1]];[[-1, 1, 0, 0, 1], [4, 2, 2, 3, 1]];[1, 6]
14;[2, 1, 1], 1, 1;[[-1, -1, 3, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 2, 1, 1]];[[-1, 1, 0, 0, 1], [2, 1, 1, 1, 1], [1, 2, 1, 0, 0]];[1, 3, 1]
15;[2, 1, 1], 1, 1;[[-1, -1, 3, 0, 0], [-1, -1, 0, 3, 0], [-1, -2, 2, 2, 1]];[[-1, 1, 0, 0, 1], [2, 1, 1, 1, 0], [1, 2, 1, 0, 0]];[1, 2, 1]
16;[2, 1, 1], 1, 1;[[-1, -1, 3, 0, 0], [-1, -1, 0, 5, 0], [-1, -2, 2, 3, 1]];[[-1, 1, 0, 0, 1], [9, 6, 5, 3, 2]];[1, 10]
17;[2, 1, 1], 1, 1;[[-1, -1, 4, 0, 0], [-1, -1, 0, 2, 0], [-1, -2, 3, 1, 1]];[[-1, 1, 0, 0, 1], [2, 2, 1, 2, 1], [0, 0, 1, 1, 0]];[1, 4, 0]
